meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,driver_session_key
1218,9153,1,1,2023-09-02T14:01:28.209000+00:00,,34.361,29.142,259.0,295.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051]",245.0,1_9153
1218,9153,1,2,2023-09-02T14:03:03.989000+00:00,27.167,27.831,27.049,321.0,335.0,False,82.047,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2048, 2049]",339.0,1_9153
1218,9153,1,3,2023-09-02T14:04:26.082000+00:00,39.475,38.131,37.983,209.0,280.0,False,115.589,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",189.0,1_9153
1218,9153,1,4,2023-09-02T14:06:45.549000+00:00,57.956,41.796,31.295,233.0,200.0,True,131.047,"[None, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",212.0,1_9153
1218,9153,1,5,2023-09-02T14:08:33.329000+00:00,27.048,27.614,26.911,321.0,336.0,False,81.573,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2048, 2049, 2048, 2049, 2051, 2049, 2049]",342.0,1_9153
1218,9153,1,6,2023-09-02T14:09:54.281000+00:00,39.999,36.787,38.012,256.0,263.0,False,114.798,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",227.0,1_9153
1218,9153,1,7,2023-09-02T14:12:21.373000+00:00,68.503,39.373,36.489,247.0,261.0,True,144.365,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",190.0,1_9153
1218,9153,1,8,2023-09-02T14:14:13.497000+00:00,27.154,27.599,26.969,321.0,336.0,False,81.722,"[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",340.0,1_9153
1218,9153,1,9,2023-09-02T14:15:35.215000+00:00,34.833,34.712,42.396,265.0,268.0,False,111.941,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",205.0,1_9153
1218,9153,1,10,2023-09-02T14:26:45.848000+00:00,,38.627,33.883,226.0,241.0,True,668.19,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2051, 2051, 2051]",186.0,1_9153
1218,9153,1,11,2023-09-02T14:28:35.347000+00:00,26.962,27.27,26.803,319.0,333.0,False,81.035,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2051, 2049, 2051]",339.0,1_9153
1218,9153,1,12,2023-09-02T14:29:56.346000+00:00,35.348,37.125,37.006,243.0,277.0,False,109.479,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",219.0,1_9153
1218,9153,1,13,2023-09-02T14:37:53.575000+00:00,,32.62,39.599,305.0,295.0,True,475.472,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",215.0,1_9153
1218,9153,1,14,2023-09-02T14:39:41.308000+00:00,26.897,27.357,26.683,321.0,338.0,False,80.937,"[2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2051, 2051]",344.0,1_9153
1218,9153,1,15,2023-09-02T14:41:02.276000+00:00,32.734,34.999,38.477,271.0,269.0,False,106.21,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",234.0,1_9153
1218,9153,1,16,2023-09-02T14:49:16.083000+00:00,,40.049,32.236,239.0,231.0,True,503.068,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",119.0,1_9153
1218,9153,1,17,2023-09-02T14:51:11.550000+00:00,26.899,27.191,26.541,318.0,333.0,False,80.631,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2051, 2051, 2049]",338.0,1_9153
1218,9153,1,18,2023-09-02T14:52:32.128000+00:00,29.991,29.93,33.454,295.0,308.0,False,93.375,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",262.0,1_9153
1218,9153,1,19,2023-09-02T14:57:17.874000+00:00,,41.396,31.679,221.0,258.0,True,299.802,"[None, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",212.0,1_9153
1218,9153,1,20,2023-09-02T14:59:05.358000+00:00,26.758,27.049,26.5,319.0,334.0,False,80.307,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2048, 2049, 2048, 2048, 2048]",341.0,1_9153
