session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,session_order
9222,Practice,Day 1,2023-02-23T07:00:00+00:00,2023-02-23T16:30:00+00:00,1140,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,99.0
7763,Practice,Day 2,2023-02-24T07:00:00+00:00,2023-02-24T16:30:00+00:00,1140,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,99.0
7764,Practice,Day 3,2023-02-25T07:00:00+00:00,2023-02-25T16:30:00+00:00,1140,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,99.0
7765,Practice,Practice 1,2023-03-03T11:30:00+00:00,2023-03-03T12:30:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,1.0
7766,Practice,Practice 2,2023-03-03T15:00:00+00:00,2023-03-03T16:00:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2.0
7767,Practice,Practice 3,2023-03-04T11:30:00+00:00,2023-03-04T12:30:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,3.0
7768,Qualifying,Qualifying,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,7.0
7953,Race,Race,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,8.0
7772,Practice,Practice 1,2023-03-17T13:30:00+00:00,2023-03-17T14:30:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,1.0
7773,Practice,Practice 2,2023-03-17T17:00:00+00:00,2023-03-17T18:00:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,2.0
7774,Practice,Practice 3,2023-03-18T13:30:00+00:00,2023-03-18T14:30:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,3.0
7775,Qualifying,Qualifying,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,7.0
7779,Race,Race,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,8.0
7780,Practice,Practice 1,2023-03-31T02:30:00+00:00,2023-03-31T03:30:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,1.0
7781,Practice,Practice 2,2023-03-31T06:00:00+00:00,2023-03-31T07:00:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,2.0
7782,Practice,Practice 3,2023-04-01T02:30:00+00:00,2023-04-01T03:30:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,3.0
7783,Qualifying,Qualifying,2023-04-01T06:00:00+00:00,2023-04-01T07:00:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,7.0
7787,Race,Race,2023-04-02T05:00:00+00:00,2023-04-02T07:00:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,8.0
9063,Practice,Practice 1,2023-04-28T09:30:00+00:00,2023-04-28T10:30:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,1.0
9064,Qualifying,Qualifying,2023-04-28T13:00:00+00:00,2023-04-28T14:00:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,7.0
9278,Qualifying,Sprint Qualifying,2023-04-29T08:30:00+00:00,2023-04-29T09:14:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,5.0
9069,Race,Sprint,2023-04-29T13:30:00+00:00,2023-04-29T14:00:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,6.0
